id,titulo,tipo,generos,fecha_estreno,puntaje,director,actores
1,Matrix,Película,"Acción, Ciencia Ficción",1999-03-31,8.7,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne"
2,El Secreto de sus Ojos,Película,"Drama, Misterio, Suspenso",2009-08-13,8.2,Juan José Campanella,"Ricardo Darín, Soledad Villamil"
3,Pesadilla en la calle Elm,Película,"Terror, Suspenso",1984-11-09,7.4,Wes Craven,"Heather Langenkamp, Robert Englund"
4,Parasite,Película,"Suspenso, Drama, Comedia",2019-05-30,8.5,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun"
5,Halloween,Película,"Terror, Suspenso",1978-10-25,7.7,John Carpenter,"Jamie Lee Curtis, Donald Pleasence"
6,La mosca,Película,"Terror, Ciencia Ficción",1986-08-15,7.6,David Cronenberg,"Jeff Goldblum, Geena Davis"
7,The Dark Knight,Película,"Acción, Crimen, Drama",2008-07-18,9.0,Christopher Nolan,"Christian Bale, Heath Ledger"
8,Interstellar,Película,"Ciencia Ficción, Aventura, Drama",2014-11-05,8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway"
9,Se7en,Película,"Crimen, Drama, Misterio",1995-09-22,8.6,David Fincher,"Brad Pitt, Morgan Freeman"
10,Gladiator,Película,"Acción, Aventura, Drama",2000-05-05,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix"11,John Wick,Película,"Acción, Crimen, Suspenso",2014-10-24,7.4,Chad Stahelski,"Keanu Reeves, Michael Nyqvist"
11,John Wick,Película,"Acción, Crimen, Suspenso",2014-10-24,7.4,Chad Stahelski,"Keanu Reeves, Michael Nyqvist"
12,Nueve Reinas,Película,"Crimen, Drama, Suspenso",2000-08-31,7.9,Fabián Bielinsky,"Ricardo Darín, Gastón Pauls"
13,Scream,Película,"Terror, Misterio",1996-12-20,7.4,Wes Craven,"Neve Campbell, Courteney Cox"
14,Snowpiercer,Película,"Acción, Ciencia Ficción, Drama",2013-08-01,7.1,Bong Joon Ho,"Chris Evans, Song Kang-ho"
15,The Thing,Película,"Terror, Ciencia Ficción, Misterio",1982-06-25,8.2,John Carpenter,"Kurt Russell, Keith David"
16,True Detective,Serie,"Crimen, Drama, Misterio",2014-01-12,8.9,Cary Joji Fukunaga,"Matthew McConaughey, Woody Harrelson"
17,Fight Club,Película,"Drama, Suspenso",1999-10-15,8.8,David Fincher,"Brad Pitt, Edward Norton"
18,Joker,Película,"Crimen, Drama, Suspenso",2019-10-04,8.4,Todd Phillips,"Joaquin Phoenix, Robert De Niro"
19,Stranger Things,Serie,"Ciencia Ficción, Terror, Drama",2016-07-15,8.7,The Duffer Brothers,"Millie Bobby Brown, Winona Ryder"
20,The Dark Knight Rises,Película,"Acción, Crimen, Drama",2012-07-20,8.4,Christopher Nolan,"Christian Bale, Anne Hathaway"
